school_id,school_name,school_inf,school_inf_list,school_type,index,municipalitet,address,phone,latitude,longitude,link_urls
46019155,CENTRO PÚBLICO FPA JAIME I,"['Biblioteca', 'Laboratorio/Taller', 'Inglés', 'FONDOS SOCIALES EUROPEOS']","['Biblioteca', 'Laboratorio/Taller', 'Inglés', 'FONDOS SOCIALES EUROPEOS']",PUB., 46140,ADEMUZ,"C. SOLANO, 1",978787000,"40,060148","-1,285779",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46019155
46026329,CRA RINCÓN DE ADEMUZ,"['Transporte', 'Comedor', 'Aula Informática', 'Biblioteca', 'Aula música', 'I. Deportivas', 'Inglés', 'Adscrito al programa de banco de libros']","['Transporte', 'Comedor', 'Aula Informática', 'Biblioteca', 'Aula música', 'I. Deportivas', 'Inglés', 'Adscrito al programa de banco de libros']",PUB., 46140,ADEMUZ,"Avda. DE VALENCIA, 47-C",978787010,"40,059618","-1,285469",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46026329
46029434,ESCUELA PRIVADA DE MÚSICA DE ADEMUZ,[],[],PRIV., 46140,ADEMUZ,"Avda. DE VALENCIA, 39",630248329,"40,06262","-1,285304",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46029434
46020248,IES DE ADEMUZ,"['Transporte', 'Comedor', 'Cafetería/Bar', 'Aula Informática', 'Biblioteca', 'Laboratorio/Taller', 'Aula música', 'Gimnasio', 'I. Deportivas', 'Francés', 'Inglés', 'Adscrito al programa de banco de libros']","['Transporte', 'Comedor', 'Cafetería/Bar', 'Aula Informática', 'Biblioteca', 'Laboratorio/Taller', 'Aula música', 'Gimnasio', 'I. Deportivas', 'Francés', 'Inglés', 'Adscrito al programa de banco de libros']",PUB., 46140,ADEMUZ,"Avda. DE VALENCIA, 47",978787005,"40,059896","-1,285284",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46020248
46030266,EI 1er CICLE MUNICIPAL L'ESCOLETA,['Inglés'],['Inglés'],PUB., 46724,ADOR,"C. SANTÍSIMO CRISTO, 6",962808051,"38,91987","-0,225291",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46030266
46020561,ESCOLA PRIVADA DE MÚSICA,['Salón actos'],['Salón actos'],PRIV., 46724,ADOR,"C. GOYA, 1",962808875,"38,918702","-0,223562",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46020561
46018953,CEIP LA MURTERA,"['Comedor', 'Aula Informática', 'Biblioteca', 'Laboratorio/Taller', 'Aula música', 'I. Deportivas', 'Francés', 'Inglés', 'Adscrito al programa de banco de libros']","['Comedor', 'Aula Informática', 'Biblioteca', 'Laboratorio/Taller', 'Aula música', 'I. Deportivas', 'Francés', 'Inglés', 'Adscrito al programa de banco de libros']",PUB., 46724,ADOR,"C. JOSÉ ESCRIVÁ, S/N",962826630,"38,922274","-0,223911",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46018953
46000079,CEIP SANT VICENT FERRER,"['Página Web de Mestre a casa', 'Comedor', 'Biblioteca', 'Laboratorio/Taller', 'Aula música', 'Gimnasio', 'I. Deportivas', 'Francés', 'Inglés', 'Adscrito al programa de banco de libros']","['Página Web de Mestre a casa', 'Comedor', 'Biblioteca', 'Laboratorio/Taller', 'Aula música', 'Gimnasio', 'I. Deportivas', 'Francés', 'Inglés', 'Adscrito al programa de banco de libros']",PUB., 46890,AGULLENT,"Cm. VELL D'ONTINYENT, S/N",962919350,"38,821801","-0,555249",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46000079
46028120,CENTRE FPA MUNICIPAL D'AGULLENT,[],[],PUB., 46890,AGULLENT,"C. MAJOR, 4",962907472,"38,822541","-0,547847",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46028120
46022713,EI 1er CICLE MUNICIPAL LA JORDANA,[],[],PUB., 46890,AGULLENT,"C. ALFONSO I FRANCISCO PLÁ, 2",962907850,"38,82147","-0,554517",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46022713
46020571,ESCOLA PRIVADA DE MÚSICA AMANCIO AMORÓS SIRVENT,['Cafetería/Bar'],['Cafetería/Bar'],PRIV., 46890,AGULLENT,"C. MAJOR, 4",605864632,"38,822353","-0,547847",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46020571
46001515,CEIP SANT JOSEP DE CALASSANÇ,"['Comedor', 'Aula Informática', 'Biblioteca', 'Laboratorio/Taller', 'Pelota', 'I. Deportivas', 'Inglés', 'Adscrito al programa de banco de libros']","['Comedor', 'Aula Informática', 'Biblioteca', 'Laboratorio/Taller', 'Pelota', 'I. Deportivas', 'Inglés', 'Adscrito al programa de banco de libros']",PUB., 46812,AIELO DE MALFERIT,"C. MESTRE CARLES SALVADOR, 1",962919355,"38,877186","-0,588212",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46001515
46027231,CENTRE FPA MUNICIPAL ENRIC VALOR,[],[],PUB., 46812,AIELO DE MALFERIT,"Avda. SANTÍSSIM CRIST, 1",962363010,"38,878159","-0,58985",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46027231
46018606,E. DE MÚSICA MUNICIPAL,[],[],PUB., 46812,AIELO DE MALFERIT,"Avda. SANTÍSSIM CRIST, 5",962360720,"38,87818","-0,589753",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46018606
46022348,EI 1er CICLE MUNICIPAL LA SERRATELLA,[],[],PUB., 46812,AIELO DE MALFERIT,"C. BOCAIRENT, S/N",652365407,"38,877169","-0,588609",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46022348
46022099,IES PORÇONS,"['Cafetería/Bar', 'Aula Informática', 'Biblioteca', 'Laboratorio/Taller', 'Salón actos', 'Aula música', 'Pelota', 'Gimnasio', 'I. Deportivas', 'Francés', 'Inglés', 'FONDOS SOCIALES EUROPEOS', 'Adscrito al programa de banco de libros']","['Cafetería/Bar', 'Aula Informática', 'Biblioteca', 'Laboratorio/Taller', 'Salón actos', 'Aula música', 'Pelota', 'Gimnasio', 'I. Deportivas', 'Francés', 'Inglés', 'FONDOS SOCIALES EUROPEOS', 'Adscrito al programa de banco de libros']",PUB., 46812,AIELO DE MALFERIT,"C. JULIÁN JUAN MOMPÓ, 3",962919595,"38,881554","-0,595665",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46022099
46000171,CEIP BONAVISTA,"['Pulse para enviar un correo electrónico al Centro', 'Comedor', 'Aula Informática', 'Biblioteca', 'Aula de idiomas', 'Laboratorio/Taller', 'Aula música', 'Gimnasio', 'I. Deportivas', 'Inglés', 'Adscrito al programa de banco de libros']","['Pulse para enviar un correo electrónico al Centro', 'Comedor', 'Aula Informática', 'Biblioteca', 'Aula de idiomas', 'Laboratorio/Taller', 'Aula música', 'Gimnasio', 'I. Deportivas', 'Inglés', 'Adscrito al programa de banco de libros']",PUB., 46970,ALAQUÀS,"C. BONAVISTA, S/N",961205520,"39,454445","-0,450954",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46000171
