school_id,school_name,school_inf,school_inf_list,school_type,index,municipalitet,address,phone,latitude,longitude,link_urls
46019155,CENTRO PÚBLICO FPA JAIME I,Library,"Library, Laboratory/Workshop, English, European Social Funds",Public School, 46140,ADEMUZ,"C. SOLANO, 1",978787000,"40,060148","-1,285779",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46019155
46019155,CENTRO PÚBLICO FPA JAIME I,Laboratory/Workshop,"Library, Laboratory/Workshop, English, European Social Funds",Public School, 46140,ADEMUZ,"C. SOLANO, 1",978787000,"40,060148","-1,285779",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46019155
46019155,CENTRO PÚBLICO FPA JAIME I,English,"Library, Laboratory/Workshop, English, European Social Funds",Public School, 46140,ADEMUZ,"C. SOLANO, 1",978787000,"40,060148","-1,285779",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46019155
46019155,CENTRO PÚBLICO FPA JAIME I,European Social Funds,"Library, Laboratory/Workshop, English, European Social Funds",Public School, 46140,ADEMUZ,"C. SOLANO, 1",978787000,"40,060148","-1,285779",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46019155
46026329,CRA RINCÓN DE ADEMUZ,Transportation,"Transportation, Canteen, Computer classroom, Library, Music classroom, Sports, English, Enrolled in the book bank program",Public School, 46140,ADEMUZ,"Avda. DE VALENCIA, 47-C",978787010,"40,059618","-1,285469",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46026329
46026329,CRA RINCÓN DE ADEMUZ,Canteen,"Transportation, Canteen, Computer classroom, Library, Music classroom, Sports, English, Enrolled in the book bank program",Public School, 46140,ADEMUZ,"Avda. DE VALENCIA, 47-C",978787010,"40,059618","-1,285469",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46026329
46026329,CRA RINCÓN DE ADEMUZ,Computer classroom,"Transportation, Canteen, Computer classroom, Library, Music classroom, Sports, English, Enrolled in the book bank program",Public School, 46140,ADEMUZ,"Avda. DE VALENCIA, 47-C",978787010,"40,059618","-1,285469",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46026329
46026329,CRA RINCÓN DE ADEMUZ,Library,"Transportation, Canteen, Computer classroom, Library, Music classroom, Sports, English, Enrolled in the book bank program",Public School, 46140,ADEMUZ,"Avda. DE VALENCIA, 47-C",978787010,"40,059618","-1,285469",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46026329
46026329,CRA RINCÓN DE ADEMUZ,Music classroom,"Transportation, Canteen, Computer classroom, Library, Music classroom, Sports, English, Enrolled in the book bank program",Public School, 46140,ADEMUZ,"Avda. DE VALENCIA, 47-C",978787010,"40,059618","-1,285469",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46026329
46026329,CRA RINCÓN DE ADEMUZ,Sports,"Transportation, Canteen, Computer classroom, Library, Music classroom, Sports, English, Enrolled in the book bank program",Public School, 46140,ADEMUZ,"Avda. DE VALENCIA, 47-C",978787010,"40,059618","-1,285469",https://ceice.gva.es/abc/i_guiadecentros/es/centro.asp?codi=46026329
